--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x00000100: 0x3501 adds r5,#0x01
--- 0x00000102: 0x2D04 cmp r5,#0x04
--- 0x00000104: 0xD9EB bls 0x000000DD
--- 0x000000DE: 0x2007 movs r0,#0x07
--- 0x000000E0: 0x2330 movs r3,#0x30
--- 0x000000E2: 0x4028 ands r0,r5
--- 0x000000E4: 0x4318 orrs r0,r3
--- 0x000000E6: 0xF7FF 
--- 0x000000E8: 0xFFC5 bl 0x00000074
--- 0x00000074: 0xB500 push {lr}
--- 0x00000076: 0x1C01 movs r1,r0
--- 0x00000078: 0x4801 ldr r0,[PC+#0x4] ;@ 0x80
--- 0x0000007A: 0xF7FF 
--- 0x0000007C: 0xFFEE bl 0x0000005A
--- 0x0000005A: 0x6001 str r1,[r0,#0x0]
uart: [1]
--- 0x0000005C: 0x4770 bx r14
--- 0x0000007E: 0xBD00 pop {pc}
--- 0x000000EA: 0x2300 movs r3,#0x00
--- 0x000000EC: 0x9300 str r3,[SP,#0x0]
--- 0x000000EE: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F0: 0x42A3 cmps r3,r4
--- 0x000000F2: 0xD805 bhi 0x000000FF
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000FC: 0x42A3 cmps r3,r4
--- 0x000000FE: 0xD9F9 bls 0x000000F3
--- 0x000000F4: 0x9B00 ldr r3,[SP+#0x0]
--- 0x000000F6: 0x3301 adds r3,#0x01
--- 0x000000F8: 0x9300 str r3,[SP,#0x0]
--- 0x000000FA: 0x9B00 ldr r3,[SP+#0x0]
